Имя файла;Исходный путь;Конечный путь;Категория;Раздел;Подпапка;Ревизия;Тип файла;CRC;Статус
GPNG-GEP-RD-0407.000-000-IF-GT0-CD-001_rB_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0146\GPNG-GEP-RD-0407.000-000-IF-GT0-CD-001_rB_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GT0\Ревизии\B\пдф\GPNG-GEP-RD-0407.000-000-IF-GT0-CD-001_rB_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GT0;B;пдф;eaf973e2;duplicate
GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-002_rB_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0146\GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-002_rB_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GT0\Ревизии\B\пдф\GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-002_rB_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GT0;B;пдф;4a7d48da;duplicate
GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-003_rB_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0146\GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-003_rB_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GT0\Ревизии\B\пдф\GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-003_rB_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GT0;B;пдф;77f09a11;duplicate
GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-004_rB_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0146\GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-004_rB_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GT0\Ревизии\B\пдф\GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-004_rB_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GT0;B;пдф;85bd255b;duplicate
GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-005_rB_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0146\GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-005_rB_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GT0\Ревизии\B\пдф\GPNG-GEP-RD-0407.000-000-IF-GT0-DPK-005_rB_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GT0;B;пдф;820941e6;duplicate
GPNG-GEP-RD-0407.000-000-IF-GT0_rB_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0146\GPNG-GEP-RD-0407.000-000-IF-GT0_rB_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GT0\Ревизии\B\пдф\GPNG-GEP-RD-0407.000-000-IF-GT0_rB_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GT0;B;пдф;a7798e8a;duplicate
GPNG-GEP-RD-0407.000-000-IF-GP0-BOQ-001_rA_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0147\GPNG-GEP-RD-0407.000-000-IF-GP0-BOQ-001_rA_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GP0\Ревизии\A\пдф\GPNG-GEP-RD-0407.000-000-IF-GP0-BOQ-001_rA_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GP0;A;пдф;b33c0abc;duplicate
GPNG-GEP-RD-0407.000-000-IF-GP0-CD-001_rA_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0147\GPNG-GEP-RD-0407.000-000-IF-GP0-CD-001_rA_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GP0\Ревизии\A\пдф\GPNG-GEP-RD-0407.000-000-IF-GP0-CD-001_rA_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GP0;A;пдф;6ec8f72f;duplicate
GPNG-GEP-RD-0407.000-000-IF-GP0-DPK-002_rA_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0147\GPNG-GEP-RD-0407.000-000-IF-GP0-DPK-002_rA_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GP0\Ревизии\A\пдф\GPNG-GEP-RD-0407.000-000-IF-GP0-DPK-002_rA_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GP0;A;пдф;11caeaae;duplicate
GPNG-GEP-RD-0407.000-000-IF-GP0-DPK-003_rA_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0147\GPNG-GEP-RD-0407.000-000-IF-GP0-DPK-003_rA_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-GP0\Ревизии\A\пдф\GPNG-GEP-RD-0407.000-000-IF-GP0-DPK-003_rA_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-GP0;A;пдф;04443d26;duplicate
